ISO3,Country,Year,Population
GBR,United Kingdom,2023,68350000.0
GEO,Georgia,2023,3760365.0
GHA,Ghana,2023,34121985.0
GIB,Gibraltar,2023,32688.0
GIN,Guinea,2023,14190612.0
GMB,"Gambia, The",2023,2773168.0
GNB,Guinea-Bissau,2023,2150842.0
GNQ,Equatorial Guinea,2023,1714671.0
GRC,Greece,2023,10361295.0
GRD,Grenada,2023,126183.0
GRL,Greenland,2023,56865.0
GTM,Guatemala,2023,17602431.0
GUM,Guam,2023,172952.0
GUY,Guyana,2023,813834.0
HIC,High income,2023,1403021503.0
HKG,"Hong Kong SAR, China",2023,7536100.0
HND,Honduras,2023,10593798.0
HPC,Heavily indebted poor countries (HIPC),2023,907995430.0
HRV,Croatia,2023,3853200.0
HTI,Haiti,2023,11724763.0
HUN,Hungary,2023,9589872.0
IBD,IBRD only,2023,4937047867.0
IBT,IDA & IBRD total,2023,6819750360.0
IDA,IDA total,2023,1882702493.0
IDB,IDA blend,2023,622553200.0
IDN,Indonesia,2023,277534122.0
IDX,IDA only,2023,1260149293.0
IMN,Isle of Man,2023,84710.0
IND,India,2023,1428627663.0
INX,Not classified,2023,
IRL,Ireland,2023,5262382.0
IRN,"Iran, Islamic Rep.",2023,89172767.0
IRQ,Iraq,2023,45504560.0
ISL,Iceland,2023,393600.0
ISR,Israel,2023,9756700.0
ITA,Italy,2023,58761146.0
JAM,Jamaica,2023,2825544.0
JOR,Jordan,2023,11337052.0
JPN,Japan,2023,124516650.0
KAZ,Kazakhstan,2023,19900177.0
KEN,Kenya,2023,55100586.0
KGZ,Kyrgyz Republic,2023,7100800.0
KHM,Cambodia,2023,16944826.0
KIR,Kiribati,2023,133515.0
KNA,St. Kitts and Nevis,2023,47755.0
KOR,"Korea, Rep.",2023,51712619.0
KWT,Kuwait,2023,4310108.0
LAC,Latin America & Caribbean (excluding high income),2023,600825676.0
LAO,Lao PDR,2023,7633779.0
LBN,Lebanon,2023,5353930.0
LBR,Liberia,2023,5418377.0
LBY,Libya,2023,6888388.0
LCA,St. Lucia,2023,180251.0
LCN,Latin America & Caribbean,2023,664155299.0
LDC,Least developed countries: UN classification,2023,1150346774.0
LIC,Low income,2023,722984063.0
LIE,Liechtenstein,2023,39584.0
LKA,Sri Lanka,2023,22037000.0
LMC,Lower middle income,2023,3059564861.0
LMY,Low & middle income,2023,6593137026.0
LSO,Lesotho,2023,2330318.0
LTE,Late-demographic dividend,2023,2326833223.0
LTU,Lithuania,2023,2871897.0
LUX,Luxembourg,2023,668606.0
LVA,Latvia,2023,1881750.0
MAC,"Macao SAR, China",2023,704149.0
MAF,St. Martin (French part),2023,32077.0
MAR,Morocco,2023,37840044.0
MCO,Monaco,2023,36297.0
MDA,Moldova,2023,2486891.0
MDG,Madagascar,2023,30325732.0
MDV,Maldives,2023,521021.0
MEA,Middle East & North Africa,2023,500787313.0
MEX,Mexico,2023,128455567.0
MHL,Marshall Islands,2023,41996.0
MIC,Middle income,2023,5870152963.0
MKD,North Macedonia,2023,1811980.0
MLI,Mali,2023,23293698.0
MLT,Malta,2023,553214.0
MMR,Myanmar,2023,54577997.0
MNA,Middle East & North Africa (excluding high income),2023,430857111.0
MNE,Montenegro,2023,616177.0
MNG,Mongolia,2023,3447157.0
MNP,Northern Mariana Islands,2023,49796.0
MOZ,Mozambique,2023,33897354.0
MRT,Mauritania,2023,4862989.0
MUS,Mauritius,2023,1261041.0
MWI,Malawi,2023,20931751.0
MYS,Malaysia,2023,34308525.0
NAC,North America,2023,375076145.0
NAM,Namibia,2023,2604172.0
NCL,New Caledonia,2023,267940.0
NER,Niger,2023,27202843.0
NGA,Nigeria,2023,223804632.0
NIC,Nicaragua,2023,7046310.0
NLD,Netherlands,2023,17879488.0
NOR,Norway,2023,5519594.0
NPL,Nepal,2023,30896590.0
NRU,Nauru,2023,12780.0
NZL,New Zealand,2023,5223100.0
OED,OECD members,2023,1385005653.0
OMN,Oman,2023,4644384.0
OSS,Other small states,2023,14240737.0
PAK,Pakistan,2023,240485658.0
PAN,Panama,2023,4468087.0
PER,Peru,2023,34352719.0
PHL,Philippines,2023,117337368.0
PLW,Palau,2023,18058.0
PNG,Papua New Guinea,2023,10329931.0
POL,Poland,2023,36685849.0
PRE,Pre-demographic dividend,2023,1065710613.0
PRI,Puerto Rico,2023,3205691.0
PRK,"Korea, Dem. People's Rep.",2023,26160821.0
PRT,Portugal,2023,10525347.0
PRY,Paraguay,2023,6861524.0
PSE,West Bank and Gaza,2023,5165775.0
PSS,Pacific island small states,2023,2677728.0
PST,Post-demographic dividend,2023,1119478514.0
PYF,French Polynesia,2023,308872.0
QAT,Qatar,2023,2716391.0
ROU,Romania,2023,19056116.0
RUS,Russian Federation,2023,143826130.0
RWA,Rwanda,2023,14094683.0
SAS,South Asia,2023,1938549529.0
SAU,Saudi Arabia,2023,36947025.0
SDN,Sudan,2023,48109006.0
SEN,Senegal,2023,17763163.0
SGP,Singapore,2023,5917648.0
SLB,Solomon Islands,2023,740424.0
SLE,Sierra Leone,2023,8791092.0
SLV,El Salvador,2023,6364943.0
SMR,San Marino,2023,33642.0
SOM,Somalia,2023,18143378.0
SRB,Serbia,2023,6618026.0
SSA,Sub-Saharan Africa (excluding high income),2023,1241778044.0
SSD,South Sudan,2023,11088796.0
SSF,Sub-Saharan Africa,2023,1241897817.0
SST,Small states,2023,20086203.0
STP,Sao Tome and Principe,2023,231856.0
SUR,Suriname,2023,623236.0
SVK,Slovak Republic,2023,5426740.0
SVN,Slovenia,2023,2120937.0
SWE,Sweden,2023,10536632.0
SWZ,Eswatini,2023,1210822.0
SXM,Sint Maarten (Dutch part),2023,41163.0
SYC,Seychelles,2023,119773.0
SYR,Syrian Arab Republic,2023,23227014.0
TCA,Turks and Caicos Islands,2023,46062.0
TCD,Chad,2023,18278568.0
TEA,East Asia & Pacific (IDA & IBRD countries),2023,2107522258.0
TEC,Europe & Central Asia (IDA & IBRD countries),2023,457326090.0
TGO,Togo,2023,9053799.0
THA,Thailand,2023,71801279.0
TJK,Tajikistan,2023,10143543.0
TKM,Turkmenistan,2023,6516100.0
TLA,Latin America & the Caribbean (IDA & IBRD countries),2023,648763330.0
TLS,Timor-Leste,2023,1360596.0
TMN,Middle East & North Africa (IDA & IBRD countries),2023,425691336.0
TON,Tonga,2023,107773.0
TSA,South Asia (IDA & IBRD),2023,1938549529.0
TSS,Sub-Saharan Africa (IDA & IBRD countries),2023,1241897817.0
TTO,Trinidad and Tobago,2023,1534937.0
TUN,Tunisia,2023,12458223.0
TUR,Turkiye,2023,85326000.0
TUV,Tuvalu,2023,11396.0
TZA,Tanzania,2023,67438106.0
UGA,Uganda,2023,48582334.0
UKR,Ukraine,2023,37000000.0
UMC,Upper middle income,2023,2810588102.0
URY,Uruguay,2023,3423108.0
USA,United States,2023,334914895.0
UZB,Uzbekistan,2023,36412350.0
VCT,St. Vincent and the Grenadines,2023,103698.0
VEN,"Venezuela, RB",2023,28838499.0
VGB,British Virgin Islands,2023,31538.0
VIR,Virgin Islands (U.S.),2023,104917.0
VNM,Viet Nam,2023,98858950.0
VUT,Vanuatu,2023,334506.0
WLD,World,2023,8024997028.0
WSM,Samoa,2023,225681.0
XKX,Kosovo,2023,1756374.0
YEM,"Yemen, Rep.",2023,34449825.0
ZAF,South Africa,2023,60414495.0
ZMB,Zambia,2023,20569737.0
ZWE,Zimbabwe,2023,16665409.0
